epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1038.41,1.05038,1.60818,1.45389,0.75956,0.74109,0.78617,0.57715,0.87853,0.95211,1.35488,0.00999737,0.00333246,0.00999737,0.00333246,0.00999737,0.00333246,0.00999737,0.00333246
2,1945,1.0981,1.38149,1.49142,0.77229,0.73107,0.78867,0.56044,0.94185,0.92702,1.41802,0.0196014,0.00653381,0.0196014,0.00653381,0.0196014,0.00653381,0.0196014,0.00653381
3,2812.95,1.1786,1.54184,1.54851,0.72534,0.67213,0.75232,0.52914,1.01525,1.06174,1.48768,0.0288095,0.00960316,0.0288095,0.00960316,0.0288095,0.00960316,0.0288095,0.00960316
4,3681.61,1.16815,1.51782,1.54013,0.70874,0.74908,0.79599,0.5846,0.8835,0.90534,1.3738,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4540.23,1.09138,1.31082,1.47851,0.8516,0.79606,0.86495,0.65641,0.80525,0.73761,1.29659,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5401.99,1.03972,1.18809,1.43593,0.87978,0.81195,0.88782,0.69356,0.75307,0.6664,1.24912,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6263.13,1.00082,1.10478,1.40185,0.87716,0.83499,0.90576,0.72712,0.68389,0.60635,1.18309,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7135.06,0.96271,1.02423,1.37242,0.87016,0.84913,0.91843,0.74825,0.64339,0.57126,1.14655,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8001.06,0.93912,0.98163,1.3551,0.91904,0.84631,0.93178,0.77199,0.61814,0.52688,1.12654,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8862.93,0.91922,0.94384,1.33959,0.91941,0.87042,0.94076,0.7869,0.60035,0.50378,1.10831,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9728.24,0.9013,0.9046,1.32362,0.91377,0.88198,0.94363,0.79852,0.58604,0.48257,1.09268,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10593.9,0.88598,0.87477,1.31201,0.91679,0.89174,0.94874,0.81056,0.56541,0.4651,1.0807,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11458.6,0.87024,0.85145,1.29899,0.91677,0.89016,0.94836,0.81812,0.55161,0.44751,1.06748,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,12323.1,0.85853,0.82652,1.28964,0.92655,0.89977,0.95348,0.82921,0.53369,0.42562,1.04787,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13181.2,0.84483,0.80674,1.28026,0.92776,0.90179,0.95577,0.83526,0.52186,0.4167,1.03949,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14051.3,0.83192,0.78546,1.27379,0.92771,0.9014,0.95638,0.83385,0.51534,0.40939,1.03498,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,14913.1,0.82114,0.77216,1.26359,0.93099,0.90756,0.9602,0.84094,0.51044,0.40509,1.0325,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,15777.4,0.80988,0.75332,1.25413,0.92937,0.91491,0.95729,0.83929,0.5042,0.40494,1.02514,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,16656.2,0.79849,0.73434,1.24793,0.93621,0.91471,0.9604,0.84377,0.50078,0.39175,1.02056,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,17518.6,0.78715,0.72161,1.23902,0.93975,0.9122,0.96172,0.84779,0.49261,0.38636,1.01187,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,18383.7,0.77661,0.70524,1.23318,0.94664,0.90822,0.96272,0.8572,0.48334,0.37667,1.00262,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,19245.6,0.7715,0.68929,1.22737,0.93698,0.91727,0.96342,0.85855,0.4736,0.37195,0.99495,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,20105.6,0.75641,0.68151,1.21666,0.93269,0.91644,0.9625,0.85914,0.46951,0.37118,0.99187,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,20965.7,0.7525,0.67543,1.21616,0.93968,0.91457,0.96396,0.86197,0.46868,0.36552,0.99318,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,21824,0.74762,0.66452,1.21248,0.94098,0.91335,0.96572,0.86332,0.46498,0.3644,0.98866,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,22698.5,0.73427,0.64567,1.20101,0.93574,0.91767,0.96597,0.86507,0.45998,0.35971,0.98535,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23556.8,0.72593,0.63693,1.19495,0.93887,0.91855,0.96551,0.86674,0.45567,0.35673,0.98111,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,24413.1,0.7165,0.62038,1.18858,0.94068,0.91677,0.96565,0.871,0.45179,0.35356,0.97769,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,25270.6,0.71527,0.61615,1.18645,0.94707,0.91322,0.96704,0.87241,0.44859,0.34913,0.97498,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,26126.7,0.70435,0.60778,1.18229,0.94715,0.9121,0.96703,0.8737,0.44736,0.34791,0.97404,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,26985,0.69595,0.59492,1.17733,0.94932,0.91343,0.96631,0.87399,0.44584,0.34795,0.97305,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,27842.6,0.6916,0.59125,1.17482,0.94711,0.91474,0.9668,0.87433,0.44436,0.34581,0.97208,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,28710.4,0.68024,0.57782,1.16669,0.94876,0.91458,0.96697,0.87455,0.44363,0.34639,0.97157,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,29573.6,0.67255,0.56686,1.16287,0.94507,0.91618,0.96684,0.8745,0.44215,0.3459,0.97007,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,30431.2,0.66775,0.55612,1.15564,0.93837,0.92443,0.9667,0.87524,0.43987,0.34502,0.96796,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,31289.1,0.65561,0.54645,1.15143,0.94639,0.91712,0.96696,0.87626,0.43831,0.34382,0.96738,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,32147.4,0.65037,0.5405,1.14648,0.94378,0.91997,0.96695,0.87646,0.43749,0.34303,0.96734,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,33005.1,0.63978,0.52803,1.13855,0.9403,0.92597,0.96716,0.87769,0.4366,0.34226,0.96699,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,33862.6,0.63519,0.5227,1.13718,0.94224,0.92526,0.9674,0.87783,0.43586,0.34205,0.96649,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,34720.9,0.62968,0.51889,1.13317,0.94362,0.92381,0.96757,0.87799,0.43542,0.34115,0.96639,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,35586.3,0.50368,0.298,1.06072,0.94466,0.92391,0.96735,0.87814,0.434,0.33986,0.96526,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,36435.8,0.48625,0.2836,1.04671,0.94557,0.92526,0.9674,0.87823,0.43263,0.33838,0.96417,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,37287.6,0.47007,0.2733,1.0357,0.9468,0.9259,0.96786,0.87951,0.43132,0.33696,0.96331,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,38140.3,0.46127,0.26311,1.0247,0.94882,0.92526,0.96814,0.88055,0.42936,0.33574,0.96183,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,38991.7,0.44761,0.25337,1.01932,0.94768,0.92525,0.96818,0.88158,0.42788,0.33482,0.96078,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,39843.6,0.43726,0.24575,1.00918,0.94458,0.92526,0.96816,0.88211,0.4261,0.33386,0.95942,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,40695,0.42932,0.24044,1.00408,0.94176,0.92964,0.96816,0.88219,0.42453,0.33292,0.95839,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,41544.8,0.41652,0.23058,0.99401,0.93275,0.93877,0.96859,0.88293,0.42356,0.33175,0.95828,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,42395.3,0.40565,0.22353,0.98642,0.93462,0.93723,0.96834,0.88404,0.42145,0.33118,0.9567,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,43247.6,0.39969,0.2197,0.98297,0.93492,0.93626,0.96797,0.88482,0.41988,0.33032,0.95583,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
